neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
,40.71065,-73.94102,Entire home/apt,185.0,30,29,0.17,1,334
,40.68532,-73.91881,Private room,99.0,30,7,0.04,4,365
,40.71643,-73.99931,Entire home/apt,,30,48,0.3,1,0
,40.81146,-73.94469,Private room,122.0,30,11,0.07,2,358
,40.81128,-73.9433,Entire home/apt,360.0,30,0,0.0,2,365
Neighborhood highlights,40.78615,-73.97394,Private room,115.0,30,210,1.24,1,362
,40.67882,-73.97224,Private room,,30,5,0.04,1,0
Neighborhood highlights,40.66161712766098,-73.99192061645073,Private room,181.0,3,25,0.15,1,315
,40.73756,-73.9535,Entire home/apt,428.0,1,48,0.33,29,60
Neighborhood highlights,40.71517,-73.99376,Entire home/apt,,30,4,0.02,1,0
Neighborhood highlights,40.71704,-74.00908,Entire home/apt,590.0,30,35,0.21,1,365
,40.74101,-74.00006,Private room,,30,19,0.14,1,0
Neighborhood highlights,40.6446,-73.94184,Entire home/apt,,30,75,0.46,1,0
Neighborhood highlights,40.71881,-73.9879,Private room,,30,11,0.11,1,0
Neighborhood highlights,40.6974983215332,-73.97722625732422,Entire home/apt,,30,129,0.77,1,0
,40.82176,-73.94522,Entire home/apt,125.0,30,0,0.0,1,83
Neighborhood highlights,40.79632,-73.97643,Entire home/apt,247.0,30,248,1.48,1,167
,40.76253,-73.98365,Entire home/apt,,30,8,0.05,1,0
Neighborhood highlights,40.7628,-73.9651,Entire home/apt,,30,11,0.07,1,0
,40.719482,-73.98877,Entire home/apt,126.0,30,84,0.51,2,258
,40.73756,-73.9535,Entire home/apt,428.0,1,31,0.21,29,60
,40.73756,-73.9535,Entire home/apt,428.0,1,100,0.61,29,60
,40.73756,-73.9535,Entire home/apt,428.0,1,50,0.3,29,60
,40.73756,-73.9535,Entire home/apt,428.0,1,43,0.26,29,60
,40.73756,-73.9535,Entire home/apt,428.0,1,49,0.29,29,60
,40.71923,-73.9582,Entire home/apt,285.0,30,291,1.77,1,365
Neighborhood highlights,40.77534,-73.95106,Entire home/apt,225.0,30,162,0.98,1,363
,40.74838,-73.98214,Entire home/apt,,30,49,0.34,1,0
Neighborhood highlights,40.66763,-73.95836,Entire home/apt,237.0,30,144,0.87,5,50
Neighborhood highlights,40.72617,-73.95264,Entire home/apt,159.0,30,3,0.06,4,363
Neighborhood highlights,40.71941,-73.98968,Entire home/apt,235.0,30,90,0.56,3,365
Neighborhood highlights,40.70867,-74.00303,Private room,,30,15,0.1,1,15
Neighborhood highlights,40.73333,-73.85933,Private room,,30,25,0.21,1,0
Neighborhood highlights,40.64295,-73.97293,Private room,69.0,30,63,0.51,1,238
,40.72136,-73.95674,Entire home/apt,175.0,60,1,0.02,3,296
,40.7154,-73.94028,Entire home/apt,,30,1,0.01,1,0
Neighborhood highlights,40.66385,-73.93229,Private room,65.0,30,32,0.22,2,179
Neighborhood highlights,40.76716,-73.91177,Private room,95.0,30,19,0.11,3,365
Neighborhood highlights,40.76269,-73.99361,Private room,75.0,30,186,1.41,3,314
Neighborhood highlights,40.71529,-73.96032,Entire home/apt,,30,52,0.32,1,0
,40.81319,-73.94194,Private room,135.0,30,95,0.58,2,179
Neighborhood highlights,40.75622,-73.99455,Private room,132.0,4,257,1.58,3,121
Neighborhood highlights,40.75557,-73.99411,Entire home/apt,212.0,30,61,0.37,3,88
Neighborhood highlights,40.64368,-74.02102,Entire home/apt,,30,19,0.12,1,0
Neighborhood highlights,40.67534,-73.98345,Entire home/apt,167.0,30,10,0.06,1,332
Neighborhood highlights,40.74828,-73.9917,Entire home/apt,290.0,30,152,0.93,1,364
Neighborhood highlights,40.66,-73.95203,Private room,84.0,30,10,0.06,3,305
Neighborhood highlights,40.70413,-73.92726,Private room,,30,39,0.26,2,0
Neighborhood highlights,40.74496,-73.91167,Private room,124.0,30,285,1.7,2,365
